,penyakit,gejala
178,Pneumonia in Cats," of Pneumonia in Cats
Symptoms of pneumonia may appear slowly or quickly, depending on the type and severity of the infection. Symptoms may include:


	
	Fast breathing
	
	
	Difficult breathing
	
	
	Open mouth breathing
	
	
	Increased heart rate
	
	
	Lethargy
	
	
	Lack or loss of appetite
	
	
	Green or yellow nasal discharge
	
	
	Fever
	
	
	Coughing
	
	
	Blue-tinted mucus
	


Is Pneumonia Contagious to Other Cats?

Certain infectious (viral or bacterial) types of pneumonia can be contagious to other cats, and even dogs, but this is rare.

If your veterinarian suspects a contagious cause of your cat’s pneumonia, it is recommended to separate your sick cat from other pets in your household.

Certain infectious organisms can live on your sick pet’s food, water bowl, litter box, and toys. These items should not be shared between healthy and ill pets and should be washed often. Also, wash your hands after you tend to your sick kitty to prevent the spread of germs.

"
179,Pneumonia (Fungal) in Cats," and Types

Symptoms of fungal pneumonia may include a history of anorexia and corresponding weight loss, fever, discharge from the nose or eyes, coughing, difficulty breathing, lameness, and eye problems, possibly as severe as sudden blindness. A physical exam may also reveal depression, emaciation, and a crackling sound in the cat's lungs while breathing.

"
180,Pneumonia (Bacterial) in Cats," and Types



Symptoms of bacterial pneumonia include cough, fever, difficulty breathing, lack of appetite and consequent weight loss, sluggishness, nasal discharge, dehydration, and rapid breathing. Intolerance to exercise due to breathing difficulties may also be apparent. Listening to the lungs with a stethoscope may reveal abnormal breathing sounds, a diagnostic process known as auscultation. Symptoms may include short rough snapping sounds known as crackles and whistling sounds known as wheezes.



Causes



"
181,Pleural Effusion in Cats (Fluid Around the Lungs)," of Pleural Effusion in Cats
Cats with pleural effusion typically have a combination of the following symptoms:


	
	Rapid breathing
	
	
	Shallow breathing
	
	
	Working harder than normal to breathe
	
	
	Open-mouth breathing
	
	
	Coughing
	
	
	Lethargy
	


Depending on how long the effusion has been present, how severe it is, and its underlying cause, you may also notice:


	
	Poor appetite
	
	
	Weight loss
	
	
	Blue-tinged or pale mucous membranes (around the eyes, nose, and mouth)
	
	
	An enlarged abdomen
	
	
	Signs of discomfort or pain
	
	
	Weakness
	


Take your cat to a veterinarian or emergency clinic immediately if they are having trouble breathing or the symptoms seemed to come on suddenly. Your cat’s life may be in danger if you wait too long.

On the other hand, mild symptoms that come on slowly (over the course of days or weeks rather than hours) are rarely an emergency. Call your regular veterinarian for advice if your cat doesn’t seem to be in distress, particularly if you already know the cause of your cat’s pleural effusion. You can also chat with a veterinary expert through Chewy’s Connect With a Vet service for insight on next steps.

"
182,Plague in Cats," of Plague in Cats 
In mammals, plague is transmitted through flea bites (bubonic), contact with contaminated fluid or tissue (septicemic), or infectious droplets (pneumonic). 

Cats are most commonly affected by bubonic plague. The bacterium enters the body through the cat’s mouth after ingesting an infected animal, or through the skin from a flea bite that travels to the lymph nodes. Onset of symptoms is one to four days after exposure and includes:


	
	Fever (up to 106 F)
	
	
	Decreased appetite (anorexia)
	
	
	Lethargy          
	
	
	Enlarged lymph nodes, especially under the jaw
	


Septicemic plague occurs when the bacterium continues to spread through the bloodstream and affects organs including the spleen, liver, and heart. In this case, lymph nodes will not be enlarged, but the cat will likely still have the other signs of bubonic plague. Additional symptoms may include: 


	
	Vomiting
	
	
	Diarrhea
	
	
	Elevated heart rate
	
	
	Trouble breathing
	
	
	Shock
	


Pneumonic plague affects the lungs. Cats with pneumonic plague have all the clinical signs of septicemic plague in addition to:


	
	Cough
	
	
	Abnormal lung sounds, such as crackles and wheezes
	


"
183,Pink Growths in the Nose and Pharynx in Cats," and Types

Nasal polyps

    Nasal congestion
    Nasal discharge that is unresponsive to antibiotics
    Sneezing
    Decreased nasal airflow
    Noisy breathing, especially when inhaling


Nasopharyngeal Polyps

    Many of the same symptoms as nasal 	polyps
    Trouble with swallowing (dysphagia)
    Trouble breathing in (dyspnea)
    Frequently tilting head to the side
    Ear infection, inflammation of the ear canal (otitis)
    Symptoms of Horner's Syndrome: drooping of eyelid, sunken eye, protruding third eyelid, abnormally small pupil


"
184,Pillow Foot (Pododermatitis) in Cats," of Cat Pillow Foot
With PCP, the paw pads:


	Are swollen or puffy, and smooth
	
	
	Are affected on multiple feet
	
	
	Initially have no ulcerations, but deep fissure lines (deep linear cracks) are present
	
	
	Are deep pink or purple in color with multiple white striations 
	
	
	May indent in response to pressure, then become puffy when pressure is removed
	
	
	Eventually may break open, resulting in limping or lameness
	
In some rare cases, the following symptoms can also be seen due to the increased numbers of plasma cells being generated in the body:


	Swelling at the bridge of the nose
	
	
	Upper respiratory tract infection 
	
	
	Inflammation of gum tissue and the lining of the mouth (stomatitis) 
	
	
	Glomerulonephritis (inflammation and dysfunction of the capillaries in the kidneys)
	
	
	Eosinophilic granuloma (a mass or nodular lesion containing white blood cells called eosinophils, usually found on the back of the thighs, on the face, or in the mouth)
	
What Does Pillow Foot in Cats Look Like?
Photo of pododermatitis or pillow foot in cats - Image Credit: Dr. Heather ZarrellaPhoto of pododermatitis or pillow foot in cats - Image Credit: Dr. Heather Zarrella"
185,Pica in Cats," of Pica in Cats
The hallmark symptom noted with pica is the actual behavior itself—chewing, sucking, or ingesting non-edible materials. Cats can also exhibit other symptoms associated with pica or its results, such as:


	
	Vomiting
	
	
	Diarrhea
	
	
	Lack of appetite or thirst
	
	
	Constipation, straining to defecate
	
	
	Lethargy
	


"
186,Peritonitis in Cats," of Peritonitis in Cats
Common symptoms of peritonitis in cats include:


	
	Abdominal pain: You may notice your cat vocalizing when you pick them up, or they may have a bloated, firm abdomen and not move around much due to discomfort.
	
	
	Increased heart rate or breathing rate, often associated with discomfort
	
	
	Vomiting
	
	
	Diarrhea
	
	
	Restlessness or not being able to get into a comfortable position. Your cat may also get into a stretching position where their head is lowered and rear end is up; this helps relieve pressure from the abdominal organs.
	
	
	Fever
	
	
	Lethargy/weakness/collapse
	
	
	Decreased appetite
	
	
	Jaundice: Yellow discoloration of the skin, eyes, and ears can be a sign of specific types of peritonitis associated with liver/gallbladder disease or certain viruses, such as feline infectious peritonitis (FIP).
	


Causes of Peritonitis in Cats
Any foreign material or infections released into the peritoneal cavity cause irritation and start a systemic inflammatory response. This causes white blood cells to move into the peritoneal cavity, as well as more leaking of the blood vessels and lymphatics in the region.

The loss of fluid, white blood cells, and proteins into the abdomen decreases the movement of oxygenated blood through body tissues and organs. This eventually leads to cell death and organ failure if untreated or, unfortunately, sometimes even with treatment.

"
187,Pennyroyal Oil Poisoning in Cats," and Types



Symptoms expected with pennyroyal oil poisoning include:




	Listlessness
	Vomiting
	Diarrhea
	Coughing up blood
	Difficulty breathing
	Bloody nose
	Lethargy
	Coma
	Seizures
	Death




"
188,Pelger-Huët Anomaly in Cats," and Types
 
There are two types of this benign defect: heterozygous and homozygous. The heterozygous version is more common and is recognized because the cat's mature neutrophils resemble bands (slightly immature neutrophils) and metamyelocytes (a predecessor of granular leukocytes). Heterozygous anomaly is not associated with immunodeficiency, with predisposition to infection, or with abnormalities of leukocyte (white blood cell) function. Conversely, the homozygous anomaly is usually lethal in utero. Cats that survive may have leukocytes with round to oval nuclei on a stained blood smear.  
 
Skeletal abnormalities and abnormal development of cartilage were reported in one stillborn homozygous kitten; however, a direct link with Pelger-Huët anomaly has not been conclusively confirmed. 
 
"
